"District","mean_C_AVT","Mean_C_Field"
"Bago",89.1732443800074,88.776289718894
"Gangaw",85.7094153485337,216.826592348578
"Kale",94.3086420567565,205.237307935465
"Katha",62.2340525347606,172.148730839855
"Khamti",65.5925674139797,140.722980408951
"Kyaukse",78.5211630913634,207.989740998435
"Magway",77.3393080186844,109.13753142375
"Mandalay",73.3929873858,142.886300463053
"Mawlaik",79.4467140721598,238.562518875839
"Meiktila",93.2790690985786,98.8482645431111
"Minbu",85.243596788946,170.257851123324
"Monywa",88.7536116584899,211.419536421852
"Pakokku",84.7836121137214,155.788861767273
"Pyay",82.944779208516,132.430339147244
"PyinOoLwin",83.7297140789032,153.884016615417
"Shwebo",92.8395208228616,167.900938314294
"Tamu",51.2351523588015,124.532526413191
"Taunggoo",76.9732472046316,97.5162379207419
"Thayarwaddy",74.2789239388503,86.6971954221775
"Thayet",85.6085836085171,168.721871763274
"Yamethin",106.409244264673,90.798515714
