"Plot_names","Year","District","Total_C_ha","EAST","NORTH","Zone"
"N181974E1971996",2011,"Thayarwaddy",53.5993709340324,181974,1971996,47
"N182002E1970008",2011,"Thayarwaddy",59.5836857806678,182002,1970008,47
"N182004E1962006",2011,"Thayarwaddy",54.6227310179725,182004,1962006,47
"N182009E1964004",2011,"Thayarwaddy",9.33618800246347,182009,1964004,47
"N182232E1974110",2011,"Thayarwaddy",22.0912878778321,182232,1974110,47
"N182246E1977268",2011,"Thayarwaddy",188.602391922013,182246,1977268,47
"N183934E1999962",2011,"Thayarwaddy",102.57856850396,183934,1999962,47
"N183938E2028020",2011,"Thayarwaddy",93.723603787889,183938,2028020,47
"N183948E2022059",2011,"Thayarwaddy",128.455613034635,183948,2022059,47
"N183955E1988182",2011,"Thayarwaddy",50.1037752999192,183955,1988182,47
"N183982E2003977",2011,"Thayarwaddy",70.4632547734194,183982,2003977,47
"N183982E2020114",2011,"Thayarwaddy",22.7900956863881,183982,2020114,47
"N183985E2006008",2011,"Thayarwaddy",246.442384669722,183985,2006008,47
"N183987E2025978",2011,"Thayarwaddy",246.222984861894,183987,2025978,47
"N183994E1975992",2011,"Thayarwaddy",78.7507237448349,183994,1975992,47
"N183994E1981998",2011,"Thayarwaddy",94.2460187129423,183994,1981998,47
"N183996E1993975",2011,"Thayarwaddy",102.272917493378,183996,1993975,47
"N183996E2001978",2011,"Thayarwaddy",82.4536696543678,183996,2001978,47
"N183997E1992172",2011,"Thayarwaddy",45.9567024774682,183997,1992172,47
"N183998E1984004",2011,"Thayarwaddy",160.728472930604,183998,1984004,47
"N183998E1998020",2011,"Thayarwaddy",46.4169006651958,183998,1998020,47
"N184000E2010001",2011,"Thayarwaddy",29.39671573936,184000,2010001,47
"N184000E2011998",2011,"Thayarwaddy",46.7755016865122,184000,2011998,47
"N184003E1971985",2011,"Thayarwaddy",78.3819388568865,184003,1971985,47
"N184006E2023961",2011,"Thayarwaddy",97.2813222141146,184006,2023961,47
"N184008E1985981",2011,"Thayarwaddy",111.309801866462,184008,1985981,47
"N184010E1967997",2011,"Thayarwaddy",35.210511379975,184010,1967997,47
"N184011E1990118",2011,"Thayarwaddy",30.5251642596445,184011,1990118,47
"N184014E1969991",2011,"Thayarwaddy",43.1392657736621,184014,1969991,47
"N184014E1979998",2011,"Thayarwaddy",110.114502719132,184014,1979998,47
"N184017E1974020",2011,"Thayarwaddy",19.734054745615,184017,1974020,47
"N184023E1996010",2011,"Thayarwaddy",70.9716136379265,184023,1996010,47
"N184024E1978019",2011,"Thayarwaddy",62.6758787530683,184024,1978019,47
"N184034E2016060",2011,"Thayarwaddy",114.568600126779,184034,2016060,47
"N184041E2030113",2011,"Thayarwaddy",89.5421591496848,184041,2030113,47
"N184042E2018076",2011,"Thayarwaddy",92.891812037969,184042,2018076,47
"N184043E2008087",2011,"Thayarwaddy",27.6582405625335,184043,2008087,47
"N184098E2014108",2011,"Thayarwaddy",73.2937528660737,184098,2014108,47
"N185000E2043000",2010,"Taunggoo",167.203875228204,185000,2043000,47
"N185000E2045000",2010,"Taunggoo",52.1197205276493,185000,2045000,47
"N185000E2047000",2010,"Taunggoo",80.1855984110603,185000,2047000,47
"N185000E2049000",2010,"Taunggoo",157.049649704025,185000,2049000,47
"N185000E2051000",2010,"Taunggoo",47.5680329266116,185000,2051000,47
"N185000E2053000",2010,"Taunggoo",59.0846692216018,185000,2053000,47
"N185000E2055000",2010,"Taunggoo",92.4209999119893,185000,2055000,47
"N185000E2057000",2010,"Taunggoo",115.260204843722,185000,2057000,47
"N185000E2059000",2010,"Taunggoo",145.563229738705,185000,2059000,47
"N185000E2061000",2010,"Taunggoo",43.0015721746911,185000,2061000,47
