"","EVI2013"
"1",4847
"2",4101
"3",4876
"4",4003
"5",4542
"6",4679
"7",4172
"8",4094
"9",3875
"10",4091
"11",4695
"12",4722
"13",4129
"14",4940
"15",4071
"16",3584
"17",3641
"18",3623
"19",2732
"20",4208
"21",4072
"22",3374
"23",4095
"24",4982
"25",4628
"26",4543
"27",4346
"28",3748
"29",3460
"30",3261
"31",3536
"32",2867
"33",3400
"34",3428
"35",4541
"36",4271
"37",4316
"38",4005
"39",4157
"40",4514
"41",4897
"42",4356
"43",4231
"44",3309
"45",3180
"46",3785
"47",4037
"48",4755
"49",5305
"50",4596
"51",4304
"52",4059
"53",3711
"54",3344
"55",3087
"56",2664
"57",4635
"58",4078
"59",3537
"60",4683
"61",3894
"62",2921
"63",3341
"64",4094
"65",3850
"66",3267
"67",3396
"68",3843
"69",2873
"70",3278
"71",4642
"72",3918
"73",4011
"74",3818
"75",3729
"76",3654
"77",3459
"78",3809
"79",4637
"80",4003
"81",3407
"82",3943
"83",4964
"84",3178
"85",4377
"86",4641
"87",4088
"88",4781
"89",3791
"90",2916
"91",3244
"92",3752
"93",4689
"94",4025
"95",4355
"96",3503
"97",3537
"98",4877
"99",3778
"100",3780
"101",3621
"102",3363
"103",2969
"104",3103
"105",3394
"106",3424
"107",3651
"108",2714
"109",4599
"110",4100
"111",4119
"112",4133
"113",4247
"114",4326
"115",3482
"116",3456
"117",3689
"118",3218
"119",3767
"120",4784
"121",4610
"122",3977
"123",4055
"124",3540
"125",4025
"126",4021
"127",3908
"128",3897
"129",3937
"130",4825
"131",4048
"132",3848
"133",4473
"134",4083
"135",3762
"136",4407
"137",3927
"138",3169
"139",2976
"140",3062
"141",3564
"142",3251
"143",3324
"144",3496
"145",4251
"146",3564
"147",4240
"148",4430
"149",3102
"150",2834
"151",3185
"152",2548
"153",3949
"154",3591
"155",3221
"156",5144
"157",3989
"158",3567
"159",3306
"160",3142
"161",3203
"162",3232
"163",3426
"164",3346
"165",2947
"166",2892
"167",3111
"168",4992
"169",4754
"170",3601
"171",3134
"172",2832
"173",2814
"174",3305
"175",3118
"176",3313
"177",4039
"178",4297
"179",4281
"180",4648
"181",3519
"182",3087
"183",3032
"184",2889
"185",3882
"186",4312
"187",4607
"188",3406
"189",3498
"190",4868
"191",3162
"192",3568
"193",4064
"194",3651
"195",4026
"196",3794
"197",3541
"198",4225
"199",3728
"200",2371
"201",3483
"202",4593
"203",3514
"204",3528
"205",4634
"206",4132
"207",3804
"208",4163
"209",3878
"210",3391
"211",2616
"212",3660
"213",3442
"214",3015
"215",3412
"216",3323
"217",4523
"218",4354
"219",3927
"220",4717
"221",3271
"222",3181
"223",3455
"224",4663
"225",3727
"226",4386
"227",3485
"228",4994
"229",5041
"230",5650
"231",4309
"232",3951
"233",4670
"234",3247
"235",3495
"236",4239
"237",4096
"238",3196
"239",3278
"240",4358
"241",4089
"242",3742
"243",4703
"244",4506
"245",4007
"246",4673
"247",3924
"248",2673
"249",3647
"250",4085
"251",3739
"252",4269
"253",3615
"254",4098
"255",4024
"256",4394
"257",3544
"258",3355
"259",3215
"260",3590
"261",3123
"262",3709
"263",2418
"264",3014
"265",2415
"266",3583
"267",4489
"268",3962
"269",4789
"270",3113
"271",4106
"272",3489
"273",3102
"274",3570
"275",3460
"276",3639
"277",2573
"278",3777
"279",3881
"280",4334
"281",4373
"282",4739
"283",4587
"284",3270
"285",3667
"286",4345
"287",3349
"288",2540
"289",2767
"290",2706
"291",2780
"292",3720
"293",3947
"294",4763
"295",4129
"296",3761
"297",3990
"298",4639
"299",3983
"300",3643
"301",3852
"302",2784
"303",3858
"304",3672
"305",4378
"306",3674
"307",3204
"308",4676
"309",3987
"310",4780
"311",3948
"312",3966
"313",3227
"314",3678
"315",3041
"316",3103
"317",3095
"318",3277
"319",4187
"320",3185
"321",3813
"322",4142
"323",3977
"324",5009
"325",4202
"326",4126
"327",4400
"328",3840
"329",3784
"330",3410
"331",2838
"332",3246
"333",3413
"334",4393
"335",4371
"336",4573
"337",3255
"338",4294
"339",4333
"340",3067
"341",3748
"342",3984
"343",3983
"344",4042
"345",3575
"346",2923
"347",3164
"348",4549
"349",3950
"350",4376
"351",4803
"352",3526
"353",3325
"354",3227
"355",3940
"356",2955
"357",4803
"358",4598
"359",2910
"360",3755
"361",3561
"362",4049
"363",3802
"364",4211
"365",4254
"366",3818
"367",2825
"368",3204
"369",3791
"370",3424
"371",2696
"372",4190
"373",3739
"374",4180
"375",4110
"376",4078
"377",4252
"378",2858
"379",2738
"380",3834
"381",4016
"382",3976
"383",3738
"384",3160
"385",3114
"386",3166
"387",3191
"388",4016
"389",3444
"390",3918
"391",3974
"392",2794
"393",2568
"394",3758
"395",3645
"396",4320
"397",4209
"398",3897
"399",3944
"400",3816
"401",3538
"402",4415
"403",3497
"404",4120
"405",4275
"406",3976
"407",4302
"408",4524
"409",4527
"410",3898
"411",3602
"412",3645
"413",3295
"414",4550
"415",4560
"416",4026
"417",4048
"418",4110
"419",4110
"420",3912
"421",1438
"422",4751
"423",4118
"424",3634
"425",3854
"426",4358
"427",4347
"428",4074
"429",3719
"430",4228
"431",3868
"432",5395
"433",4038
"434",3247
"435",2809
"436",4241
"437",4174
"438",4438
"439",3909
"440",4065
"441",4236
"442",3906
"443",4268
"444",4212
"445",5090
"446",4255
"447",3917
"448",2810
"449",3041
"450",3608
"451",3289
"452",3011
"453",3787
"454",3446
"455",4039
"456",5018
"457",4948
"458",4708
"459",4589
"460",3418
"461",3799
"462",3817
"463",3765
"464",4215
"465",3513
"466",4850
"467",4083
"468",4331
"469",4164
"470",4166
"471",5070
"472",4391
"473",3396
"474",4054
"475",4498
"476",4050
"477",3898
"478",3301
"479",4364
"480",3419
"481",5076
"482",4616
"483",5019
"484",3926
"485",3715
"486",4067
"487",3989
"488",3548
"489",3401
"490",3685
"491",4654
"492",4367
"493",4137
"494",4329
"495",4295
"496",4169
"497",2814
"498",3407
"499",3421
"500",4868
"501",4665
"502",4039
"503",3988
"504",4133
"505",4426
"506",4131
"507",3730
"508",3905
"509",3897
"510",3803
"511",4901
"512",4341
"513",4825
"514",4817
"515",3133
"516",4248
"517",4979
"518",4401
"519",4331
"520",5544
"521",4589
"522",3961
"523",3458
"524",3139
"525",4770
"526",4579
"527",5226
"528",4765
"529",4149
"530",3061
"531",4111
"532",4468
"533",4154
"534",4987
"535",3287
"536",3810
"537",4196
"538",4040
"539",3721
"540",3921
"541",5255
"542",3683
"543",4107
"544",3974
"545",4991
"546",3788
"547",4280
"548",4396
"549",4288
"550",4841
"551",5397
"552",4882
"553",4950
"554",4418
"555",5717
"556",4674
"557",4721
"558",4776
"559",4427
"560",4160
"561",3914
"562",4107
"563",4018
"564",5214
"565",5072
"566",4340
"567",4801
"568",3995
"569",3705
"570",4666
"571",4500
"572",5585
"573",4634
"574",3814
"575",3895
"576",4159
"577",4673
"578",4603
"579",5278
"580",4627
"581",4330
"582",3385
"583",3676
"584",4121
"585",5674
"586",4747
"587",4412
"588",5369
"589",4661
"590",5021
"591",4266
"592",3817
"593",3454
"594",4062
"595",5387
"596",5033
"597",5095
"598",4820
"599",5375
"600",4519
"601",5302
"602",5533
"603",3884
"604",5646
"605",5625
"606",4893
"607",5277
"608",5738
"609",4942
"610",4013
"611",6011
"612",4334
"613",4790
"614",5340
"615",4423
"616",4451
"617",4449
"618",3254
"619",4390
"620",5122
"621",5348
"622",5125
"623",4557
"624",4560
"625",4732
"626",5513
"627",4541
"628",5615
"629",5218
"630",5979
"631",5086
"632",3693
"633",4343
"634",4389
"635",5225
"636",4426
"637",3241
"638",4988
"639",4740
"640",3724
"641",4321
"642",4718
"643",5009
"644",4989
"645",4813
"646",4067
"647",5089
"648",5697
"649",4589
"650",4440
"651",5369
"652",4907
"653",5334
"654",5202
"655",5082
"656",4845
"657",4549
"658",6186
"659",5196
"660",4112
"661",4413
"662",4989
"663",4748
"664",4994
"665",4568
"666",4615
"667",4742
"668",4781
"669",4434
"670",4689
"671",5451
"672",4966
"673",4328
"674",4866
"675",3395
"676",3207
"677",4295
"678",5099
"679",5227
"680",4775
"681",4728
"682",5475
"683",5840
"684",5098
"685",5425
"686",5416
"687",5897
"688",5145
"689",5220
"690",5144
"691",4227
"692",4157
"693",4906
"694",5135
"695",5235
"696",4114
"697",4450
"698",4870
"699",3910
"700",5107
"701",5094
"702",5022
"703",4856
"704",4941
"705",5240
"706",3881
"707",5166
"708",5212
"709",4553
"710",5586
"711",3873
"712",4817
"713",4712
"714",5545
"715",4638
"716",4345
"717",4543
"718",4552
"719",4251
"720",4677
"721",5031
"722",4794
"723",4422
"724",5022
"725",4275
"726",4579
"727",4250
"728",3737
"729",4482
"730",4590
"731",4750
"732",5110
"733",4098
