"","mydata"
"1",4777
"2",4421
"3",5267
"4",4159
"5",4451
"6",4697
"7",4293
"8",4041
"9",3845
"10",4509
"11",4639
"12",4609
"13",4085
"14",5258
"15",4101
"16",3678
"17",3533
"18",3676
"19",4401
"20",4421
"21",4754
"22",4631
"23",4351
"24",4928
"25",4801
"26",5124
"27",4519
"28",4159
"29",4695
"30",3329
"31",4382
"32",4123
"33",4115
"34",4158
"35",4521
"36",4335
"37",4003
"38",4403
"39",4397
"40",4681
"41",5072
"42",3881
"43",4620
"44",3830
"45",3792
"46",3814
"47",4296
"48",4538
"49",5542
"50",5232
"51",4852
"52",4572
"53",3962
"54",3488
"55",4028
"56",2757
"57",4975
"58",4344
"59",4489
"60",3989
"61",4120
"62",3817
"63",4086
"64",4403
"65",4547
"66",4350
"67",4140
"68",2912
"69",3144
"70",3668
"71",4966
"72",4529
"73",4681
"74",4374
"75",4171
"76",3525
"77",3931
"78",4161
"79",5000
"80",4457
"81",4173
"82",4326
"83",4325
"84",3569
"85",3206
"86",5115
"87",4281
"88",4882
"89",4365
"90",4188
"91",4413
"92",3505
"93",3718
"94",3524
"95",3532
"96",3424
"97",4967
"98",5134
"99",4275
"100",4458
"101",4019
"102",4261
"103",3735
"104",3314
"105",4586
"106",3924
"107",4407
"108",4255
"109",5147
"110",4536
"111",4252
"112",4159
"113",4739
"114",4751
"115",4225
"116",4369
"117",4587
"118",3885
"119",4053
"120",5121
"121",5005
"122",4675
"123",4331
"124",4155
"125",4655
"126",4558
"127",4255
"128",4348
"129",4398
"130",5023
"131",5027
"132",4170
"133",4843
"134",4590
"135",3869
"136",4388
"137",4582
"138",4337
"139",4005
"140",3616
"141",4598
"142",4227
"143",4267
"144",3341
"145",4391
"146",3769
"147",4604
"148",4591
"149",3497
"150",3789
"151",4067
"152",4135
"153",3569
"154",4059
"155",3730
"156",5350
"157",4673
"158",4635
"159",3241
"160",3911
"161",3737
"162",3529
"163",3407
"164",3218
"165",3383
"166",3512
"167",3558
"168",5366
"169",5266
"170",4245
"171",4231
"172",3693
"173",4143
"174",4304
"175",3531
"176",3392
"177",3808
"178",4694
"179",4352
"180",4805
"181",4240
"182",4167
"183",3401
"184",3577
"185",4287
"186",3937
"187",3946
"188",4184
"189",4309
"190",5241
"191",4174
"192",3991
"193",4301
"194",4009
"195",4469
"196",4057
"197",3324
"198",3458
"199",4344
"200",2497
"201",3520
"202",3781
"203",4199
"204",3731
"205",4851
"206",4441
"207",4695
"208",3948
"209",4066
"210",3497
"211",4542
"212",3827
"213",3426
"214",2670
"215",3868
"216",3864
"217",4422
"218",4482
"219",4834
"220",4871
"221",4476
"222",4056
"223",4538
"224",3592
"225",4849
"226",4538
"227",3376
"228",3981
"229",3858
"230",4174
"231",3966
"232",4813
"233",5017
"234",4233
"235",4306
"236",3762
"237",3990
"238",4800
"239",4471
"240",4307
"241",4002
"242",4013
"243",3603
"244",4313
"245",3944
"246",3351
"247",4021
"248",3287
"249",3517
"250",3849
"251",3927
"252",4657
"253",4003
"254",4012
"255",3588
"256",4129
"257",3142
"258",4051
"259",4064
"260",4421
"261",3631
"262",4078
"263",4050
"264",4504
"265",3521
"266",3756
"267",4587
"268",4487
"269",4799
"270",3830
"271",4227
"272",4381
"273",3981
"274",3907
"275",4080
"276",4222
"277",4257
"278",4422
"279",3160
"280",4849
"281",4339
"282",3659
"283",4491
"284",4104
"285",4134
"286",4179
"287",4149
"288",4690
"289",4067
"290",3715
"291",4099
"292",4258
"293",4395
"294",3443
"295",4297
"296",3789
"297",4201
"298",4609
"299",3974
"300",4286
"301",3882
"302",4347
"303",4263
"304",4011
"305",3979
"306",3475
"307",4457
"308",4095
"309",4049
"310",4927
"311",4111
"312",4149
"313",3832
"314",3407
"315",4158
"316",4300
"317",3647
"318",3848
"319",4454
"320",4128
"321",2975
"322",4183
"323",3186
"324",4500
"325",4147
"326",4483
"327",4789
"328",4367
"329",4725
"330",3770
"331",2886
"332",4368
"333",3509
"334",3915
"335",3684
"336",3868
"337",4387
"338",4197
"339",4103
"340",4131
"341",4362
"342",2697
"343",3963
"344",4415
"345",4363
"346",3588
"347",4293
"348",4395
"349",4104
"350",4439
"351",4971
"352",3933
"353",4017
"354",2897
"355",4233
"356",4138
"357",4971
"358",4209
"359",3982
"360",4470
"361",3836
"362",4666
"363",3826
"364",4707
"365",4837
"366",4221
"367",3571
"368",3846
"369",4096
"370",4065
"371",4344
"372",4251
"373",4647
"374",4001
"375",4163
"376",4098
"377",3692
"378",4132
"379",3839
"380",4215
"381",3589
"382",4099
"383",3911
"384",4214
"385",3732
"386",3782
"387",4018
"388",3589
"389",3674
"390",4756
"391",3729
"392",4190
"393",3241
"394",3923
"395",3999
"396",4722
"397",4917
"398",4377
"399",4400
"400",4169
"401",3958
"402",4494
"403",2906
"404",3499
"405",3830
"406",3910
"407",4638
"408",4715
"409",5019
"410",4470
"411",2856
"412",2937
"413",4051
"414",3567
"415",2796
"416",3967
"417",4055
"418",4437
"419",4437
"420",3439
"421",1400
"422",5198
"423",4372
"424",4009
"425",3962
"426",4026
"427",3613
"428",3855
"429",4025
"430",4356
"431",4568
"432",5205
"433",4822
"434",3952
"435",3905
"436",4460
"437",4465
"438",4292
"439",3832
"440",3708
"441",4964
"442",4673
"443",4063
"444",3902
"445",5294
"446",4424
"447",4249
"448",4008
"449",2963
"450",4608
"451",4150
"452",3822
"453",3585
"454",4595
"455",4647
"456",5049
"457",5262
"458",4798
"459",5214
"460",4451
"461",4470
"462",4283
"463",4508
"464",4248
"465",4036
"466",4279
"467",3969
"468",4363
"469",4377
"470",4732
"471",5389
"472",4719
"473",4667
"474",4484
"475",4394
"476",3628
"477",3823
"478",4734
"479",4657
"480",4501
"481",4502
"482",4693
"483",4990
"484",4462
"485",4509
"486",4202
"487",4833
"488",5024
"489",3979
"490",4173
"491",4684
"492",4480
"493",4442
