"","NDVI"
"1",7709
"2",7669
"3",8072
"4",7386
"5",7500
"6",8174
"7",6886
"8",7524
"9",7243
"10",7351
"11",7451
"12",7408
"13",6013
"14",8118
"15",7340
"16",6818
"17",5978
"18",6887
"19",6793
"20",6614
"21",7901
"22",7799
"23",7949
"24",8081
"25",8013
"26",7796
"27",7429
"28",7136
"29",6193
"30",7249
"31",6910
"32",6441
"33",7267
"34",6184
"35",6646
"36",7765
"37",7405
"38",8158
"39",7770
"40",8108
"41",8022
"42",7972
"43",7247
"44",7193
"45",7742
"46",6667
"47",6895
"48",7430
"49",8252
"50",7941
"51",7388
"52",5953
"53",5640
"54",6792
"55",7426
"56",6859
"57",8065
"58",7341
"59",7128
"60",5847
"61",7280
"62",7163
"63",7699
"64",7323
"65",6973
"66",6980
"67",6893
"68",6253
"69",7395
"70",7409
"71",7402
"72",6759
"73",7512
"74",6984
"75",6533
"76",7395
"77",7554
"78",6466
"79",7524
"80",7547
"81",7643
"82",6206
"83",6765
"84",6280
"85",7405
"86",7986
"87",7743
"88",7828
"89",7549
"90",6884
"91",6360
"92",5768
"93",7090
"94",7634
"95",7394
"96",6602
"97",6343
"98",8173
"99",7945
"100",7916
"101",7500
"102",7478
"103",5780
"104",6172
"105",6778
"106",7282
"107",5774
"108",5848
"109",8126
"110",7856
"111",7186
"112",7296
"113",6940
"114",7495
"115",5172
"116",6892
"117",6788
"118",6244
"119",7040
"120",7978
"121",7614
"122",6776
"123",7062
"124",7519
"125",7991
"126",6366
"127",6956
"128",6346
"129",7548
"130",7993
"131",7095
"132",7269
"133",7669
"134",7432
"135",6701
"136",6748
"137",7420
"138",6383
"139",5649
"140",5587
"141",7801
"142",7474
"143",7643
"144",6374
"145",6004
"146",7657
"147",7753
"148",7417
"149",7108
"150",6783
"151",6711
"152",6114
"153",6565
"154",7354
"155",6821
"156",8238
"157",7156
"158",7213
"159",7368
"160",6900
"161",6521
"162",6399
"163",6095
"164",5940
"165",5760
"166",5309
"167",4503
"168",8321
"169",7767
"170",7828
"171",7441
"172",6772
"173",5991
"174",6260
"175",4817
"176",5650
"177",6913
"178",7779
"179",7699
"180",7697
"181",7137
"182",7456
"183",7132
"184",5442
"185",7423
"186",5942
"187",5700
"188",7039
"189",7177
"190",8244
"191",6587
"192",7675
"193",7555
"194",6687
"195",7113
"196",6753
"197",6674
"198",5865
"199",6064
"200",4823
"201",5194
"202",4485
"203",6657
"204",8169
"205",8069
"206",7899
"207",6505
"208",7006
"209",6605
"210",5471
"211",5665
"212",7052
"213",5923
