"","NDVI2015"
"1",7486
"2",6939
"3",7169
"4",6737
"5",6448
"6",7619
"7",6572
"8",6885
"9",6683
"10",7632
"11",6885
"12",7074
"13",6076
"14",7801
"15",5241
"16",5633
"17",5538
"18",5035
"19",6533
"20",6824
"21",8189
"22",7333
"23",7529
"24",7795
"25",7261
"26",6736
"27",6418
"28",5342
"29",6871
"30",5848
"31",6447
"32",6783
"33",5930
"34",6451
"35",6853
"36",7319
"37",6043
"38",7978
"39",7594
"40",7261
"41",7213
"42",6994
"43",7092
"44",5490
"45",5981
"46",6591
"47",7104
"48",8120
"49",8211
"50",8075
"51",7777
"52",6542
"53",5932
"54",6046
"55",6080
"56",4039
"57",7757
"58",6857
"59",6600
"60",6409
"61",6217
"62",5964
"63",5741
"64",6806
"65",7679
"66",6829
"67",6003
"68",4861
"69",5487
"70",5235
"71",7520
"72",7084
"73",7226
"74",6520
"75",6638
"76",5117
"77",6009
"78",6268
"79",7582
"80",7045
"81",6795
"82",5897
"83",7569
"84",6167
"85",5904
"86",7623
"87",7368
"88",7503
"89",6322
"90",6484
"91",7149
"92",5536
"93",6240
"94",6219
"95",6124
"96",5628
"97",7144
"98",7781
"99",6776
"100",7176
"101",6036
"102",7335
"103",6941
"104",6081
"105",6774
"106",6257
"107",6692
"108",5848
"109",7799
"110",6682
"111",6512
"112",6281
"113",7559
"114",6991
"115",5778
"116",5676
"117",6566
"118",6020
"119",6038
"120",7840
"121",7355
"122",7380
"123",6645
"124",6721
"125",6839
"126",6384
"127",6503
"128",7115
"129",6770
"130",7409
"131",7010
"132",6853
"133",7546
"134",7253
"135",6367
"136",6607
"137",6245
"138",6523
"139",5261
"140",5935
"141",7883
"142",7656
"143",7183
"144",5482
"145",6681
"146",6050
"147",6165
"148",8177
"149",5131
"150",6041
"151",6478
"152",7008
"153",6012
"154",6855
"155",6797
"156",7921
"157",7756
"158",6353
"159",4939
"160",5945
"161",6538
"162",5377
"163",5040
"164",4636
"165",5141
"166",4875
"167",5005
"168",8126
"169",8001
"170",7076
"171",6712
"172",5990
"173",6133
"174",7146
"175",5581
"176",5643
"177",5526
"178",7532
"179",7221
"180",7555
"181",7503
"182",6882
"183",5465
"184",4818
"185",7251
"186",6356
"187",6247
"188",6661
"189",6638
"190",7619
"191",6685
"192",7508
"193",7348
"194",6309
"195",6481
"196",6073
"197",4752
"198",6277
"199",6875
"200",3645
"201",5696
"202",6090
"203",6587
"204",6070
"205",7594
"206",6582
"207",7848
"208",6434
"209",7279
"210",5883
"211",5701
"212",6465
"213",6155
"214",4185
"215",6560
"216",5668
"217",6817
"218",6429
"219",6685
"220",7028
"221",7196
"222",6722
"223",7054
"224",6902
"225",8161
"226",7658
"227",5230
"228",6090
"229",5348
"230",5697
"231",6994
"232",7282
"233",7400
"234",6996
"235",6970
"236",5603
"237",5541
"238",7569
"239",6568
"240",6548
"241",6359
"242",6513
"243",5387
"244",5576
"245",7100
"246",5736
"247",6328
"248",6370
"249",5681
"250",6347
"251",6904
"252",7519
"253",6768
"254",6045
"255",5111
"256",6555
"257",5842
"258",6813
"259",7344
"260",7265
"261",5476
"262",4991
"263",7135
"264",6074
"265",5902
"266",5474
"267",6974
"268",6850
"269",7874
"270",6202
"271",7388
"272",7635
"273",4759
"274",6217
"275",6955
"276",6127
"277",6181
"278",7408
"279",5674
"280",6719
"281",7598
"282",7111
"283",7769
"284",6115
"285",7709
"286",7717
"287",5914
"288",7589
"289",6096
"290",5628
"291",6293
"292",6540
"293",6686
"294",6567
"295",6939
"296",5774
"297",6339
"298",7003
"299",6148
"300",5889
"301",6647
"302",6746
"303",6599
"304",6898
"305",5998
"306",5995
